sentiment,text
0,Еуровидение 2010 ән конкурсы Еуровидениенің 55-ші конкурсы болады .
-1,"Қой , қазақ бұлармен не ғып соғыса алсын ?"
1,Қазақстан осы өңірдегі бейбітшілікті қолдайды .
0,Дмитрий Медведевтің Астанаға сапары 22 мамырға жоспарланып отыр .
1,Біздің елде сізге ерекше құрметпен қарайды .
0,- Біздің Үкімет бұл жобаны міндетті түрде қолдайды .
0,- Көші-қон мәселелерін реттеу Қазақстан үшін маңызды болып саналады .
1,Қазіргі кезде қаланың ішкі өңірлік өнімі 20 есе өсті .
0,Кәсіпорында сапа менеджментінің жүйесі енгізілген .
0,"Жобаны 5 кезеңге бөліп , 12 жылда жүзеге асыру жоспарланып отыр ."
1,Бұл өте тиімді келісімшарт .
0,Әлемде мұндай тәжірибе бар .
-1,Есірткі бизнесі де Орталық Азия аймағы үшін қауіп болып отыр .
0,Кірпіш өндіруге жергілікті шикізат пайдаланылады .
1,- Бас прокуратураның және Бас прокурордың жұмысын қолдаймын .
1,Президент бүгінде Астана бүкіл еліміздің игілігі болып табылатынын атап өтті .
1,Қалыптасу кезеңі табысты аяқталды .
1,Астанада барлық қажетті жабдықтармен жабдықталған ірі медициналық орталықтар бар .
0,Өзінің базалық өлшемі бойынша ол орындалды .
1,Қазір 1 млрд. АҚШ долларына дейінгі қаражаты бар бірлескен қор құрылып жатыр .
1,Халықтың үміті мен Сіздің сеніміңізді ақтай алғаныма қуанышты мын .
1,Енді осы негізде саяси жүйені біртіндеп демократияландыруды бастады .
1,Бұл Қазақстанның бәсекеге қабілетті әлеуеті бар салалар .
0,Тұрғын үй кешені 487 пәтерден тұрады .
0,Біздің өңір үшін – бұл стратегиялық жол .
0,- XXI ғасырда біздің Конституциямызды жаңаша оқу қажет .
1,- Бұл менің сіздердің елордаларыңызға үшінші сапарым .
0,Конкурсқа қатысуға 296 кәсіпорын ниет білдірген .
0,Жобаның 1 - кезеңінің ( кеме жасау зауыты ) аяқталуы – 2006 жылдың тамыз айы .
1,Біз осы берекелі бірлігіміз арқылы биік белестерді бағындырдық .
1,Бізде әлемдегі үздік үлгілерді осында әкелудің бірегей мүмкіндігі бар .
0,Бүгін Мемлекет басшысы Нұрсұлтан Назарбаев бірқатар Заңдарға қол қойды .
1,Болашақта бұл көрсеткіш өсе бермек .
1,Біз қазір мемлекет дамуының жаңа үлгісін әзірлеп жатырмыз .
1,Осының бәрі терең құрметке лайық .
1,Мұнай өндіру 20 миллион тоннаға дейін ұлғайды .
0,Алматы облысы – еліміздің халық тығыз топтасқан өңірлерінің бірі .
-1,Осы оқиғаларды үлкен өкінішпен бақылап отырмын .
0,"Жобаның құны 2,3 миллиард теңгені құрайды ."
-1,Қазіргі уақыттағы дағдарыс біз үшін нағыз сынақ болды .
1,Елдің болашағын барша халықпен бірге жасаңыздар !
1,Бюджетке ақшаның түсуі көбейгені рас .
1,"Астана елімізге қайырлы да құтты қала болды , - деді Мемлекет басшысы ."
0,Содан кейін Мемлекет басшысының жұмыс сапары Теміртау қаласында жалғасты .
-1,Тек сыртқы кредиттеуге үміт арту ақылдылық емес .
0,"- Сіздер осында тұрып жатырсыздар , ал Астанада жұмыс істейсіздер ."
0,Енді біз тарихымызға басқа қырынан келуге тиіс піз .
0,Жұмыстың ерекшелігі - алынған нәтижелердің инновациялық бағыты .
